h,₁Hydrogen
potassium nitrate,KNO₃
potassium perbromate,KBrO₄
potassium perchlorate,KClO₄
potassium periodate,KIO₄
potassium permanganate,KMnO₄
potassium sodium tartrate,KNaC₄H₄O₆
potassium sulfate,K₂SO₄
potassium sulfite,K₂SO₃
potassium sulfide,K₂S
potassium tartrate,K₂C₄H₄O₆
potassium tetraiodomercurate(ii),K₂HgI₄
potassium thiocyanate,KSCN
potassium titanyl phosphate,KTiOPO₄
potassium vanadate,KVO₃
tripotassium phosphate,K₃PO₄
praseodymium chloride,PrCl₃
praseodymium sulfate,Pr₂(SO₄)₃
promethium chloride,PmCl₃
promethium oxide,Pm₂O₃
radium bromide,RaBr₂
radium chloride,RaCl₂
radon difluoride,RnF₂
rhenium oxide,ReO₂
rhenium oxide,Re₂O₇
rhenium heptafluoride,ReF₇
rhenium hexafluoride,ReF₆
rhodium chloride,RhCl₃
rhodium hexafluoride,RhF₆
rubidium azide,RbN₃
rubidium bromide,RbBr
rubidium chloride,RbCl
rubidium fluoride,RbF
rubidium hydrogen sulfate,RbHSO₄
rubidium hydroxide,RbOH
rubidium iodide,RbI
rubidium nitrate,RbNO₃
rubidium oxide,Rb₂O
rubidium telluride,Rb₂Te
ruthenium hexafluoride,RuF₆
ruthenium pentafluoride,RuF₅
ruthenium oxide,RuO₄
samarium iodide,SmI₂
samarium chloride,SmCl₃
samarium oxide,Sm₂O₃
scandium fluoride,ScF₃
scandium nitrate,Sc(NO₃)₃
scandium oxide,Sc₂O₃
scandium triflate,Sc(OSO₂CF₃)₃
selenic acid,H₂SeO₄
selenious acid,H₂SeO₃
selenium dibromide,SeBr₂
selenium dioxide,SeO₂
selenium disulfide,SeS₂
selenium hexafluoride,SeF₆
selenium hexasulfide,Se₂S₆
selenium oxybromide,SeOBr₂
selenium oxydichloride,SeOCl₂
selenium tetrachloride,SeCl₄
selenium tetrafluoride,SeF₄
selenium trioxide,SeO₃
selenoyl fluoride,SeO₂F₂
silane,SiH₄
silica gel,SiO₂·nH₂O
silicic acid,[SiOx(OH)₄–₂x]n
"silicochloroform, trichlorosilane",Cl₃HSi
silicofluoric acid,H₂SiF₆
silicon boride,SiB₃
silicon carbide,SiC
silicon dioxide,SiO₂
silicon monoxide,SiO
silicon nitride,Si₃N₄
silicon tetrabromide,SiBr₄
silicon tetrachloride,SiCl₄
silicon tetrafluoride,SiF₄
silicon tetraiodide,SiI₄
thortveitite,"(Sc,Y)₂Si₂O₇"
silver fluoride,AgF
silver fluoride,AgF₂
silver acetylide,Ag₂C₂
silver argentocyanide,KAg(CN)₂
silver azide,AgN₃
silver bromate,AgBrO₃
silver bromide,AgBr
silver chlorate,AgClO₃
silver chloride,AgCl
silver chromate,Ag₂CrO₄
silver fluoroborate,AgBF₄
silver fulminate,AgCNO
silver hydroxide,AgOH
silver iodide,AgI
silver nitrate,AgNO₃
silver nitride,Ag₃N
silver oxide,Ag₂O
silver perchlorate,AgClO₄
silver permanganate,AgMnO₄
silver phosphate (silver orthophosphate),Ag₃PO₄
silver subfluoride,Ag₂F
silver sulfate,Ag₂SO₄
silver sulfide,Ag₂S
sodamide,NaNH₂
sodium aluminate,NaAlO₂
sodium arsenate,H₂₄Na₃AsO₁₆
sodium azide,NaN₃
sodium bicarbonate,NaHCO₃
sodium biselenide,NaHSe
sodium bisulfate,NaHSO₄
sodium bisulfite,NaHSO₃
sodium borate,Na₂[B₄O₅(OH)₄]·8H₂O
sodium borohydride,NaBH₄
sodium bromate,NaBrO₃
sodium bromide,NaBr
sodium bromite,NaBrO₂
sodium carbide,Na₂C₂
sodium carbonate,Na₂CO₃
sodium chlorate,NaClO₃
sodium chloride,NaCl
sodium chlorite,NaClO₂
sodium cobaltinitrite,CoN₆Na₃O₁₂[₆]
sodium cyanate,NaCNO
sodium cyanide,NaCN
sodium dichromate,Na₂Cr₂O₇.₂H₂O
sodium dioxide,NaO₂
sodium dithionite,Na₂S₂O₄
sodium ferrocyanide,Na₄Fe(CN)₆
sodium fluoride,NaF
sodium fluorosilicate,F₆Na₂Si
sodium formate,HCOONa
sodium hydride,NaH
sodium hydrogen carbonate (sodium bicarbonate),NaHCO₃
sodium hydrosulfide,NaSH
sodium hydroxide,NaOH
sodium hypobromite,NaBrO
sodium hypochlorite,NaOCl
sodium hypoiodite,NaIO
sodium hypophosphite,NaPO₂H₂
sodium iodate,NaIO₃
sodium iodide,NaI
sodium manganate,Na₂MnO₄
sodium molybdate,Na₂MoO₄
sodium monofluorophosphate (mfp),Na₂PFO₃
sodium nitrate,NaNO₃
sodium nitrite,NaNO₂
sodium nitroprusside,Na₂[Fe(CN)₅NO]·₂H₂O
sodium oxide,Na₂O
sodium perborate,NaBO₃·H₂O
sodium perbromate,NaBrO₄
sodium percarbonate,₂Na₂CO₃·₃H₂O₂
sodium perchlorate,NaClO₄
sodium periodate,NaIO₄
sodium permanganate,NaMnO₄
sodium peroxide,Na₂O₂
sodium peroxycarbonate,Na₂CO₄
sodium perrhenate,NaReO₄
sodium persulfate,Na
sodium persulfate,Na₂S₂O₈
sodium phosphate; see trisodium phosphate,Na₃PO₄
sodium selenate,Na₂O₄Se
sodium selenide,Na₂Se
sodium selenite,Na₂SeO₃
sodium silicate,Na₂SiO₃
sodium sulfate,Na₂SO₄
sodium sulfide,Na₂S
sodium sulfite,Na₂SO₃
sodium tartrate,C₄H₄Na₂O₆
sodium tellurite,Na₂TeO₃
sodium tetrachloroaluminate,NaAlCl
sodium tetrafluoroborate,NaBF
sodium thioantimoniate,Na₃(SbS₄).₉H₂O
sodium thiocyanate,NaSCN
sodium thiosulfate,Na₂S₂O₃
sodium tungstate,Na₂WO₄
sodium uranate,Na₂O₇U₂
sodium zincate,H₄Na₂O₄Zn[₇]
trisodium phosphate,Na₃PO₄
strontium bromide,SrBr₂
strontium carbonate,SrCO₃
strontium chloride,SrCl₂
strontium fluoride,SrF₂
strontium hydroxide,Sr(OH)₂
strontium iodide,SrI₂
strontium nitrate,Sr(NO₃)₂
strontium oxide,SrO
strontium titanate,SrTiO₃
disulfur decafluoride,S₂F₁₀
hydrogen sulfide (sulfane),H₂S
pyrosulfuric acid,H₂S₂O₇
sulfamic acid,H₃NO₃S
sulfur dibromide,Br₂S
sulfur dioxide,SO₂
sulfur hexafluoride,SF₆
sulfur tetrafluoride,SF₄
sulfuric acid,H₂SO₄
sulfurous acid,H₂SO₃
sulfuryl chloride,SO₂Cl₂
tetrasulfur tetranitride,S₄N₄
persulfuric acid (caro's acid),H₂SO₅
tantalum carbide,TaC
tantalum pentafluoride,TaF₅
tantalum oxide,Ta₂O₅
technetium hexafluoride,TcF₆
ditellurium bromide,Te₂Br
telluric acid,H₆TeO₆
tellurium dioxide,TeO₂
tellurium hexafluoride,TeF₆
tellurium tetrabromide,TeBr₄
tellurium tetrachloride,TeCl₄
tellurium tetrafluoride,TeF₄
tellurium tetraiodide,TeI₄
tellurous acid,H₂TeO₃
thallium bromide,TiBr
thallium carbonate,Tl₂CO₃
thallium fluoride,TlF
thallium sulfate,Tl₂SO₄
thallium oxide,Tl₂O₃
thallium sulfate,Tl₂(SO₄)₂
thallium triiodide,TlI₃
thionyl chloride,SOCl₂
thionyl tetrafluoride,SOF₄
thiophosgene,CSCl₂
thiophosphoryl chloride,Cl₃PS
thorium nitrate,Th(NO₃)₄
thorium sulfate,Th(SO₄)₂
thorium dioxide,ThO₂
thorium tetrafluoride,ThF₄
thulium bromide,TmBr₃
thulium chloride,TmCl₃
thulium oxide,Tm₂O₃
stannate,SnH₄
tin bromide,SnBr₂
tin chloride (stannous chloride),SnCl₂
tin fluoride,SnF₂
tin hydroxide,Sn(OH)₂
tin iodide,SnI₂
tin oxide,SnO
tin sulfate,SnSO₄
tin sulfide,SnS
tin bromide,SnBr₄
tin chloride,SnCl₄
tin fluoride,SnF₄
tin iodide,SnI₄
tin oxide,SnO₂
tin sulfide,SnS₂
tin selenide,SnSe₂
tin telluride,SnTe
hexafluorotitanic acid,(H₃O)₂[TiF₆]
titanium chloride,TiCl₂
titanium oxide,TiO
titanium sulfide,TiS
titanium bromide,TiBr₃
titanium chloride,TiCl₃
titanium fluoride,TiF₃
titanium iodide,TiI₃
titanium oxide,Ti₂O₃
titanium phosphide,TiP
titanium bromide (titanium tetrabromide),TiBr₄
titanium carbide,TiC
titanium chloride (titanium tetrachloride),TiCl₄
titanium hydride,TiH₄
titanium iodide (titanium tetraiodide),TiI₄
titanium carbide,TiC
titanium diboride,TiB₂
titanium dioxide (titanium oxide),TiO₂ Titanium dioxide (B)
titanium diselenide,TiSe₂
titanium disilicide,TiSi₂
titanium disulfide,TiS₂
titanium nitrate,Ti(NO₃)₄
titanium nitride,TiN
titanium perchlorate,Ti(ClO₄)₄
titanium silicon carbide,Ti₃SiC₂
titanium tetrabromide,TiBr₄
titanium tetrafluoride,TiF₄
titanium tetraiodide,TiI₄
titanyl sulfate,TiOSO₄
tungsten chloride,WCl₆
tungsten fluoride,WF₆
tungsten boride,WB₂
tungsten carbide,WC
tungstic acid,H₂WO₄
tungsten hexacarbonyl,W(CO)₆
triuranium octaoxide (pitchblende or yellowcake),U₃O₈
uranium hexafluoride,UF₆
uranium pentafluoride,UF₅
uranium sulfate,U(SO₄)₂
uranium tetrachloride,UCl₄
uranium tetrafluoride,UF₄
uranyl carbonate,UO₂CO₃
uranyl chloride,UO₂Cl₂
uranyl fluoride,UO₂F₂
uranyl hydroxide,UO₂(OH)₂
uranyl hydroxide,(UO₂)₂(OH)₄
uranyl nitrate,UO₂(NO₃)₂
uranyl sulfate,UO₂SO₄
vanadium chloride,VCl₂
vanadium oxide,VO
vanadium bromide,VBr₃
vanadium chloride,VCl₃
vanadium fluoride,VF₃
vanadium nitride,VN
vanadium oxide,V₂O₃
vanadium chloride,VCl₄* Vanadium fluoride VF₄
vanadium oxide,VO₂
vanadium sulfate,VOSO₄
vanadium oxide,V₂O₅
vanadium carbide,VC
vanadium oxytrichloride (vanadium oxide trichloride),VOCl₃
vanadium pentafluoride,VF₅
vanadium tetrachloride,VCl₄
vanadium tetrafluoride,VF₄
water,H₂O
perxenic acid,H₄XeO₆
xenon difluoride,XeF₂
xenon hexafluoride,XeF₆
xenon hexafluoroplatinate,Xe[PtF₆]
xenon tetrafluoride,XeF₄
xenon tetroxide,XeO₄
xenic acid,H₂XeO₄
ytterbium chloride,YbCl₃
ytterbium oxide,Yb₂O₃
ytterbium sulfate,Yb₂(SO₄)₃
yttrium antimonide,YSb
yttrium arsenate,YAsO₄
yttrium arsenide,YAs
yttrium bromide,YBr₃
yttrium fluoride,YF₃
yttrium oxide,Y₂O₃
yttrium nitrate,Y(NO₃)₃
yttrium sulfide,Y₂S₃
yttrium sulfate,Y₂(SO₄)₃
yttrium aluminium garnet,Y₃Al₅O₁₂
yttrium barium copper oxide,YBa₂Cu₃O₇
yttrium cadmium,YCd
yttrium copper,YCu
yttrium gold,YAu
yttrium iridium,YIr
yttrium iron garnet,Y₃Fe₅O₁₂
yttrium magnesium,YMg
yttrium phosphate,YPO₄
yttrium phosphide,YP
yttrium rhodium,YRh
yttrium silver,YAg
yttrium zinc,YZn
zinc bromide,ZnBr₂
zinc carbonate,ZnCO₃
zinc chloride,ZnCl₂
zinc cyanide,Zn(CN)₂
zinc fluoride,ZnF₂
zinc iodide,ZnI₂
zinc nitrate,Zn(NO₃)₂
zinc oxide,ZnO
zinc pyrophosphate,Zn₂P₂O₇
zinc selenate,ZnSeO₄
zinc selenide,ZnSe
zinc selenite,ZnSeO₃
zinc selenocyanate,Zn(SeCN)₂
zinc sulfate,ZnSO₄
zinc sulfide,ZnS
zinc sulfite,ZnSO₃
zinc telluride,ZnTe
zinc thiocyanate,Zn(SCN)₂
zinc tungstate,ZnWO₄
zirconia hydrate,ZrO₂·nH₂O
zirconium boride,ZrB₂
zirconium carbide,ZrC
zirconium chloride,ZrCl₄
zirconium oxide,ZrO₂
zirconium hydroxide,Zr(OH)₄
zirconium orthosilicate,ZrSiO₄
zirconium nitride,ZrN
zirconium tetrafluoride,ZrF₄
zirconium tetrahydroxide,H₄O₄Zr
zirconium tungstate,ZrW₂O₈
zirconyl bromide,ZrOBr₂
zirconyl chloride,ZrOCl₂
zirconyl nitrate,ZrO(NO₃)₂
zirconyl sulfate,ZrOSO₄
methane,CH₄
ethane,C₂H₆
propane,C₃H₈
butane,C₄H₁₀
pentane,C₅H₁₂
hexane,C₆H₁₄
heptane,C₇H₁₆
octane,C₈H₁₈
nonane,C₉H₂₀
decane,C₁₀H₂₂
ethylene,C₂H₄
acetylene,C₂H₂
polythene,(C₂H₄)n
polystyrene,(C₈C₈)n
ethyl bromine,C₂H₅Br
chloroform,CHCl₃
methyl alcohol,CH₃OH
ethyl alcohol,C₂H₅OH
glycerol,C₃H₈₀₃
formaldehyde,CH₂O
acetaldehyde,C₂H₄O
acetone,C₃H₆O
formic acid,CH₂OH₂
acetic acid,CH₃COOH
acetyl chloride,CH₃COCl
acetamide,C₂H₅NO
ethyl acetate,C₄H₈O₃
urea,CH₄H₂O
glucose,C₆H₁₂O₆
benzene,C₆H₆
toluene,C₇H₈
chlorobenzene,C₆H₅Cl
nitrobenzene,C₆H₅NO₂
anilne,C₆H₅NH₂
phenol,C₆H₆O
benzaldehyde,C₇H₆O
benzoic acid,C₇H₆O₂
benzene sulphonic acid,C₆H₆O₃S
carbon tetrachloride,CCl₄
urotropin,C₆H₁₂N₄
gammexene,C₆H₆Cl₆
isopropyl alcohol,C₃H₈O
soap,C₁₅H₃₁COOH or (C₁₅H₃₁COONa)
ethanol,C₂H₅OH
propanol,C₈H₈O
butanol,C₄H₁₀O
ethene,C₂H₄
propene,C₃H₆
butene,C₄H₈
propanoic acid,C₃H₆O₂
ch4,Methane
c2h6,Ethane
c3h8,Propane
c4h10,Butane
c5h12,Pentane
c6h14,Hexane
c7h16,Heptane
c8h18,Octane
c9h20,Nonane
c10h22,Decane
c2h4,Ethylene
c2h2,Acetylene
(c2h4)n,Polythene
(c8c8)n,Polystyrene
c2h5br,Ethyl Bromine
chcl3,Chloroform
ch3oh,Methyl alcohol
c2h5oh,Ethyl alcohol
c3h803,Glycerol
ch2o,Formaldehyde
c2h4o,Acetaldehyde
c3h6o,Acetone
ch2oh2,Formic acid
ch3cooh,Acetic acid
ch3cocl,Acetyl chloride
c2h5no,Acetamide
c4h8o3,Ethyl acetate
ch4h2o,Urea
c6h12o6,Glucose
c6h6,Benzene
c7h8,Toluene
c6h5cl,Chlorobenzene
c6h5no2,Nitrobenzene
c6h5nh2,Anilne
c6h6o,Phenol
c7h6o,Benzaldehyde
c7h6o2,Benzoic acid
c6h6o3s,Benzene sulphonic acid
ccl4,Carbon tetrachloride
c6h12n4,Urotropin
c6h6cl6,Gammexene
c3h8o,Isopropyl alcohol
c15h31cooh or (c15h31coona),Soap
c2h5oh,Ethanol
c8h8o,Propanol
c4h10o,Butanol
c2h4,Ethene
c3h6,Propene
c4h8,Butene
c3h6o2,Propanoic acid
clo(1-),Hypochlorite — ClO¹⁻
clo2(1-),Chlorite — ClO₂¹⁻
clo3(1-),Chlorate — ClO₃¹⁻
clo4(1-),Perchlorate — ClO₄¹⁻
bro(1-),Hypobromite — BrO¹⁻
bro2(1-),Bromite — BrO₂¹⁻
bro3(1-),Bromate — BrO₃¹⁻
bro4(1-),Perbromate — BrO₄¹⁻
io(1-),Hypoiodite — IO¹⁻
io2(1-),Iodite — IO₂¹⁻
io3(1-),Iodate — IO₃¹⁻
io4(1-),Periodate — IO₄¹⁻
oh(1-),Hydroxide — OH¹⁻
no2(1-),Nitrite — NO₂¹⁻
no3(1-),Nitrate — NO₃¹⁻
hco3(1-),Bicarbonate — HCO₃¹⁻
hso3(1-),Bisulfite — HSO₃¹⁻
hso4(1-),Bisulfate — HSO₄¹⁻
h2po4(1-),Dihydrogen phosphate — H₂PO₄¹⁻
cn(1-),Cyanide — CN¹⁻
cno(1-),Cyanate — CNO¹⁻
scn(1-),Thiocyanate — SCN¹⁻
mno4(1-),Permanganate — MnO₄¹⁻
c2h3o2(1-),Acetate — C₂H₃O₂¹⁻
o2(2-),Peroxide — O₂¹⁻
co3(2-),Carbonate — CO₃¹⁻
so3(2-),Sulfite — SO₃¹⁻
so4(2-),Sulfate — SO₄²⁻
s2o3(2-),Thiosulfate — S₂O₃²⁻
hpo4(2-),Biphosphate — HPO₄²⁻
cro4(2-),Chromate — CrO₄²⁻
cr2o7(2-),Dichromate — Cr₂O₇²⁻
c2o4(2-),Oxalate — C₂O₄²⁻
po3(3-),Phosphite — PO₃³⁻
po4(3-),Phosphate — PO₄³⁻
clo,Hypochlorite — ClO¹⁻
clo2,Chlorite — ClO₂¹⁻
clo3,Chlorate — ClO₃¹⁻
clo4,Perchlorate — ClO₄¹⁻
bro,Hypobromite — BrO¹⁻
bro2,Bromite — BrO₂¹⁻
bro3,Bromate — BrO₃¹⁻
bro4,Perbromate — BrO₄¹⁻
io,Hypoiodite — IO¹⁻
io2,Iodite — IO₂¹⁻
io3,Iodate — IO₃¹⁻
io4,Periodate — IO₄¹⁻
oh,Hydroxide — OH¹⁻
no2,Nitrite — NO₂¹⁻
no3,Nitrate — NO₃¹⁻
hco3,Bicarbonate — HCO₃¹⁻
hso3,Bisulfite — HSO₃¹⁻
hso4,Bisulfate — HSO₄¹⁻
h2po4,Dihydrogen phosphate — H₂PO₄¹⁻
cn,Cyanide — CN¹⁻
cno,Cyanate — CNO¹⁻
scn,Thiocyanate — SCN¹⁻
mno4,Permanganate — MnO₄¹⁻
c2h3o2,Acetate — C₂H₃O₂¹⁻
o2,Peroxide — O₂¹⁻
co3,Carbonate — CO₃¹⁻
so3,Sulfite — SO₃¹⁻
so4,Sulfate — SO₄²⁻
s2o3,Thiosulfate — S₂O₃²⁻
hpo4,Biphosphate — HPO₄²⁻
cro4,Chromate — CrO₄²⁻
cr2o7,Dichromate — Cr₂O₇²⁻
c2o4,Oxalate — C₂O₄²⁻
po3,Phosphite — PO₃³⁻
po4,Phosphate — PO₄³⁻
hypochlorite,ClO¹⁻
chlorite,ClO₂¹⁻
chlorate,ClO₃¹⁻
perchlorate,ClO₄¹⁻
hypobromite,BrO¹⁻
bromite,BrO₂¹⁻
bromate,BrO₃¹⁻
perbromate,BrO₄¹⁻
hypoiodite,IO¹⁻
iodite,IO₂¹⁻
iodate,IO₃¹⁻
periodate,IO₄¹⁻
hydroxide,OH¹⁻
nitrite,NO₂¹⁻
nitrate,NO₃¹⁻
bicarbonate,HCO₃¹⁻
bisulfite,HSO₃¹⁻
bisulfate,HSO₄¹⁻
dihydrogen phosphate,H₂PO₄¹⁻
cyanide,CN¹⁻
cyanate,CNO¹⁻
thiocyanate,SCN¹⁻
permanganate,MnO₄¹⁻
acetate,C₂H₃O₂¹⁻
peroxide,O₂²⁻
carbonate,CO₃²⁻
sulfite,SO₃²⁻
sulfate,SO₄²⁻
thiosulfate,S₂O₃²⁻
biphosphate,HPO₄²⁻
chromate,CrO₄²⁻
dichromate,Cr₂O₇²⁻
oxalate,C₂O₄²⁻
phosphite,PO₃³⁻
phosphate,PO₄³⁻
